1 14174 the
2 6469 of
3 6325 and
4 4637 a
5 4539 to
6 4078 in
7 3045 that
8 2496 it
9 2495 his
10 2114 i
11 1876 he
12 1805 but
13 1737 s
14 1720 as
15 1692 with
16 1689 is
17 1627 was
18 1593 for
19 1515 all
20 1382 this
21 1304 at
22 1175 by
23 1151 whale
24 1143 not
25 1072 from
26 1058 him
27 1053 so
28 1040 on
29 1032 be
30 907 one
31 884 you
32 854 there
33 779 now
34 767 had
35 754 have
36 689 or
37 676 were
38 649 they
39 639 like
40 630 me
41 628 then
42 625 which
43 611 what
44 608 some
45 604 their
46 601 when
47 590 an
48 587 are
49 587 my
50 581 no
51 561 upon
52 528 man
53 527 out
54 517 into
55 511 ahab
56 509 ship
57 508 up
58 503 more
59 475 if
60 468 ye
61 465 them
62 446 old
63 446 we
64 437 sea
65 426 would
66 410 other
67 408 been
68 403 over
69 394 these
70 382 though
71 382 will
72 375 down
73 373 only
74 371 its
75 367 such
76 360 who
77 345 yet
78 337 head
79 332 time
80 331 boat
81 330 her
82 330 long
83 327 captain
84 323 any
85 320 here
86 319 very
87 312 still
88 308 about
89 306 do
90 303 those
91 302 than
92 300 said
93 295 before
94 293 two
95 292 great
96 288 has
97 287 t
98 282 seemed
99 281 must
100 280 white
101 277 last
102 276 most
103 269 thou
104 269 way
105 268 after
106 268 see
107 262 again
108 257 stubb
109 256 did
110 252 how
111 252 queequeg
112 247 little
113 246 whales
114 244 round
115 243 men
116 243 three
117 242 while
118 242 your
119 241 say
120 237 sperm
121 236 may
122 233 can
123 231 first
124 228 us
125 227 well
126 226 through
127 225 every
128 220 much
129 218 being
130 217 off
131 217 where
132 216 good
133 213 could
134 213 hand
135 212 same
136 206 side
137 204 himself
138 203 look
139 203 never
140 203 our
141 203 own
142 202 ever
143 198 starbuck
144 196 deck
145 194 almost
146 191 go
147 188 even
148 186 thing
149 182 away
150 182 too
151 182 water
152 180 might
153 179 should
154 177 come
155 176 made
156 175 day
157 173 pequod
158 172 chapter
159 171 life
160 171 world
161 166 sir
162 165 fish
163 163 among
164 163 back
165 163 far
166 162 many
167 161 seen
168 157 line
169 156 cried
170 156 nor
171 156 oh
172 155 aye
173 155 eyes
174 155 let
175 153 without
176 152 know
177 151 sort
178 149 god
179 149 night
180 149 part
181 149 thought
182 147 right
183 146 once
184 143 boats
185 140 don
186 139 air
187 139 crew
188 137 whole
189 135 half
190 135 tell
191 133 against
192 133 thus
193 130 take
194 130 thee
195 130 things
196 129 hands
197 129 soon
198 127 came
199 127 each
200 127 small
201 126 whaling
202 125 mast
203 124 both
204 124 feet
205 122 full
206 122 something
207 121 think
208 120 between
209 120 till
210 119 under
211 119 why
212 117 just
213 116 place
214 115 ll
215 114 another
216 114 nothing
217 114 she
218 113 found
219 113 thy
220 113 towards
221 112 called
222 112 times
223 111 poor
224 110 along
225 110 heard
226 110 make
227 108 body
228 108 flask
229 106 high
230 105 saw
231 105 sight
232 105 stand
233 104 moment
234 102 sun
235 100 end
236 100 sail
237 98 hold
238 98 strange
239 97 new
240 97 went
241 96 voyage
242 95 does
243 95 face
244 95 get
245 94 however
246 93 few
247 93 years
248 92 because
249 92 black
250 92 dead
251 92 shall
252 90 am
253 90 stood
254 89 going
255 89 indeed
256 89 leg
257 88 also
258 88 arm
259 88 certain
260 88 death
261 88 heart
262 88 nantucket
263 88 perhaps
264 88 whether
265 87 eye
266 87 iron
267 86 oil
268 86 seems
269 86 ships
270 85 heads
271 85 matter
272 85 whose
273 84 cabin
274 84 give
275 84 seas
276 84 seem
277 84 sometimes
278 84 true
279 84 wild
280 83 dick
281 83 hard
282 83 itself
283 83 jonah
284 83 leviathan
285 83 moby
286 83 soul
287 82 standing
288 81 mind
289 81 sailor
290 80 always
291 80 days
292 80 harpooneer
293 80 present
294 80 young
295 79 ere
296 79 light
297 78 tail
298 77 bildad
299 77 land
300 77 lay
301 77 mate
302 77 within
303 76 bed
304 76 enough
305 76 harpoon
306 76 instant
307 76 known
308 75 beneath
309 75 large
310 75 length
311 75 word
312 75 yes
313 74 done
314 74 fire
315 74 least
316 74 morning
